DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2010,0.2,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2011,-1.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2012,-1.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2013,0.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2014,2.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2015,3.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2016,4.4,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2017,3.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2018,5.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Ireland,2019,3.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Italy,2002,0.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Italy,2003,0.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Italy,2004,0.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Chain linked volumes, percentage change on previous period",Final consumption expenditure of household,Italy,2005,1.3,,
