DATAFLOW,LAST UPDATE,FREQ,REF_AREA,TRANSFORMATION,AGG_METHOD,UNIT,REFERENCE,ITEM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,COMMENT,UNIT_MULT
ECFIN:AMECO_CHAPTER17-01(1.0),03/06/26 09:31:17,Annual,France,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Gross domestic product at market prices (excessive deficit procedure)  (At current prices, as percentage of)",No reference,Cyclically adjusted total expenditure of general government :- Adjustment based on potential GDP Excessive deficit procedure,2013,57.45301,A,F,(Percentage of potential GDP at current prices),0
ECFIN:AMECO_CHAPTER17-01(1.0),03/06/26 09:31:17,Annual,France,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Gross domestic product at market prices (excessive deficit procedure)  (At current prices, as percentage of)",No reference,Cyclically adjusted total expenditure of general government :- Adjustment based on potential GDP Excessive deficit procedure,2014,57.31647,A,F,(Percentage of potential GDP at current prices),0
ECFIN:AMECO_CHAPTER17-01(1.0),03/06/26 09:31:17,Annual,France,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Gross domestic product at market prices (excessive deficit procedure)  (At current prices, as percentage of)",No reference,Cyclically adjusted total expenditure of general government :- Adjustment based on potential GDP Excessive deficit procedure,2015,56.72663,A,F,(Percentage of potential GDP at current prices),0
ECFIN:AMECO_CHAPTER17-01(1.0),03/06/26 09:31:17,Annual,France,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Gross domestic product at market prices (excessive deficit procedure)  (At current prices, as percentage of)",No reference,Cyclically adjusted total expenditure of general government :- Adjustment based on potential GDP Excessive deficit procedure,2016,56.58692,A,F,(Percentage of potential GDP at current prices),0
ECFIN:AMECO_CHAPTER17-01(1.0),03/06/26 09:31:17,Annual,France,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Gross domestic product at market prices (excessive deficit procedure)  (At current prices, as percentage of)",No reference,Cyclically adjusted total expenditure of general government :- Adjustment based on potential GDP Excessive deficit procedure,2017,57.65941,A,F,(Percentage of potential GDP at current prices),0
ECFIN:AMECO_CHAPTER17-01(1.0),03/06/26 09:31:17,Annual,France,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Gross domestic product at market prices (excessive deficit procedure)  (At current prices, as percentage of)",No reference,Cyclically adjusted total expenditure of general government :- Adjustment based on potential GDP Excessive deficit procedure,2018,56.82783,A,F,(Percentage of potential GDP at current prices),0
ECFIN:AMECO_CHAPTER17-01(1.0),03/06/26 09:31:17,Annual,France,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Gross domestic product at market prices (excessive deficit procedure)  (At current prices, as percentage of)",No reference,Cyclically adjusted total expenditure of general government :- Adjustment based on potential GDP Excessive deficit procedure,2019,56.46353,A,F,(Percentage of potential GDP at current prices),0
ECFIN:AMECO_CHAPTER17-01(1.0),03/06/26 09:31:17,Annual,Greece,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Gross domestic product at market prices (excessive deficit procedure)  (At current prices, as percentage of)",No reference,Cyclically adjusted total revenue of general government :- Adjustment based on potential GDP ESA 2010,2001,41.81545,A,F,(Percentage of potential GDP at current prices),0
ECFIN:AMECO_CHAPTER17-01(1.0),03/06/26 09:31:17,Annual,Greece,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Gross domestic product at market prices (excessive deficit procedure)  (At current prices, as percentage of)",No reference,Cyclically adjusted total revenue of general government :- Adjustment based on potential GDP ESA 2010,2002,40.90262,A,F,(Percentage of potential GDP at current prices),0
ECFIN:AMECO_CHAPTER17-01(1.0),03/06/26 09:31:17,Annual,Greece,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Gross domestic product at market prices (excessive deficit procedure)  (At current prices, as percentage of)",No reference,Cyclically adjusted total revenue of general government :- Adjustment based on potential GDP ESA 2010,2003,39.83332,A,F,(Percentage of potential GDP at current prices),0
