DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2015,15337.0,b,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2016,15575.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2017,15871.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2018,16576.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Finland,2019,17195.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2000,101711.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2001,107104.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2002,115040.4,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2003,122523.6,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2004,129308.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2005,137428.1,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2006,142087.6,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2007,147175.4,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2008,150664.7,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2009,157397.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2010,162525.6,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2011,167496.4,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2012,170536.9,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2013,174363.1,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2014,179572.2,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2015,180941.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2016,184631.1,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2017,190006.1,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2018,193539.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,France,2019,198147.3,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Italy,2000,71943.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Italy,2001,79689.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Italy,2002,84008.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Italy,2003,86930.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Italy,2004,95319.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Italy,2005,101690.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Italy,2006,106836.0,,
ESTAT:GOV_10A_EXP(1.0),27/04/26 11:00:00,Annual,Million euro,General government,Health,Total general government expenditure,Italy,2007,107648.0,,
