DATAFLOW,LAST UPDATE,FREQ,REF_AREA,TRANSFORMATION,AGG_METHOD,UNIT,REFERENCE,ITEM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,COMMENT,UNIT_MULT
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2004,388.52631,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2005,396.66425,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2006,404.3783,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2007,412.38341,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2008,419.60481,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2009,425.0909,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2010,431.05128,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2011,437.50721,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2012,442.13324,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2013,445.8129,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2014,450.22098,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2015,455.5436,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2016,461.74652,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2017,467.83791,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2018,474.86594,A,F,Mrd EURO-BEF,9
ECFIN:AMECO_CHAPTER06-05(1.0),03/06/26 09:30:57,Annual,Belgium,Levels (and moving arithmetic mean for time periods),Standard aggregation,"Original units (e.g. national currency, persons, etc.)",No reference,Potential gross domestic product at 2020 reference levels,2019,482.82739,A,F,Mrd EURO-BEF,9
