DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,sector,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Finland,2019,150865,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2001,1091464,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2002,1127167,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2003,1158419,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2004,1204749,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2005,1248565,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2006,1314922,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2007,1375952,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2008,1423033,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2009,1401509,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2010,1437595,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2011,1479288,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2012,1508312,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2013,1513905,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2014,1538333,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2015,1559016,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2016,1581775,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2017,1623906,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2018,1671194,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,France,2019,1690899,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2001,1010058,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2002,1045070,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2003,1076915,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2004,1120929,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2005,1153551,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2006,1196454,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2007,1247629,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2008,1271561,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2009,1224081,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2010,1222880,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2011,1248796,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2012,1217960,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2013,1211056,,
ESTAT:NASA_10_NF_TR(1.0),17/06/26 23:00:00,Annual,"Current prices, million euro",Received,"National income/balance of primary incomes, gross",Households; non-profit institutions serving households,Italy,2014,1213102,,
