DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Austria,2018,213470.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Austria,2019,221183.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2002,193550.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2003,194130.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2004,210463.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2005,230304.7,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2006,249732.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2007,269059.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2008,284492.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2009,238532.5,b,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2010,275440.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2011,304024.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2012,310537.9,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2013,311397.3,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2014,321522.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2015,323611.6,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2016,341137.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2017,369998.5,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2018,383597.8,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Belgium,2019,397783.1,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2002,693476.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2003,700653.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2004,778148.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2005,836166.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2006,945469.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2007,1033077.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2008,1060281.0,,
ESTAT:NAMA_10_GDP(1.0),18/06/26 11:00:00,Annual,"Current prices, million euro",Exports of goods and services,Germany,2009,884225.0,,
